iter	Passed	Remaining
769	24802	7408
770	24836	7376
771	24872	7345
772	24908	7314
773	24944	7283
774	24983	7253
775	25028	7224
776	25070	7195
777	25109	7164
778	25150	7135
779	25184	7103
780	25218	7071
781	25251	7039
782	25284	7007
783	25317	6975
784	25348	6942
785	25381	6910
786	25411	6877
787	25443	6845
788	25475	6812
789	25508	6780
790	25544	6749
791	25580	6718
792	25618	6687
793	25655	6656
794	25686	6623
795	25718	6591
796	25755	6559
797	25799	6530
798	25845	6501
799	25888	6472
800	25926	6441
801	25958	6408
802	25991	6376
803	26027	6344
804	26067	6314
805	26112	6285
806	26156	6255
807	26202	6226
808	26245	6196
809	26279	6164
810	26310	6131
811	26345	6099
812	26384	6068
813	26424	6038
814	26462	6006
815	26503	5976
816	26539	5944
817	26578	5913
818	26625	5884
819	26667	5853
820	26706	5822
821	26745	5791
822	26777	5758
823	26809	5726
824	26846	5694
825	26887	5664
826	26928	5633
827	26971	5602
828	27012	5571
829	27047	5539
830	27079	5507
831	27116	5475
832	27156	5444
833	27203	5414
834	27247	5384
835	27287	5353
836	27326	5321
837	27365	5290
838	27405	5259
839	27442	5227
840	27480	5195
841	27517	5163
842	27551	5131
843	27583	5098
844	27615	5065
845	27648	5032
846	27683	5000
847	27720	4968
848	27757	4936
849	27794	4904
850	27831	4872
851	27867	4840
852	27903	4808
853	27941	4776
854	27976	4744
855	28015	4712
856	28054	4681
857	28089	4648
858	28122	4616
859	28153	4583
860	28187	4550
861	28215	4517
862	28255	4485
863	28300	4454
864	28338	4422
865	28370	4389
866	28401	4356
867	28432	4323
868	28462	4290
869	28493	4257
870	28528	4225
871	28565	4193
872	28601	4160
873	28639	4128
874	28674	4096
875	28705	4063
876	28736	4030
877	28767	3997
878	28798	3964
879	28831	3931
880	28865	3898
881	28901	3866
882	28936	3834
883	28972	3801
884	29010	3769
885	29044	3737
886	29076	3704
887	29113	3671
888	29152	3639
889	29191	3607
890	29229	3575
891	29263	3543
892	29295	3510
893	29329	3477
894	29365	3445
895	29397	3412
896	29428	3379
897	29459	3346
898	29489	3313
899	29519	3279
900	29551	3247
901	29582	3214
902	29613	3181
903	29644	3148
904	29674	3114
905	29706	3082
906	29736	3049
907	29767	3016
908	29800	2983
909	29831	2950
910	29863	2917
911	29894	2884
912	29927	2851
913	29960	2819
914	29994	2786
915	30025	2753
916	30057	2720
917	30088	2687
918	30121	2654
919	30155	2622
920	30185	2589
921	30216	2556
922	30247	2523
923	30278	2490
924	30309	2457
925	30342	2424
926	30372	2391
927	30404	2358
928	30434	2326
929	30466	2293
930	30498	2260
931	30530	2227
932	30564	2194
933	30595	2162
934	30628	2129
935	30659	2096
936	30691	2063
937	30722	2030
938	30753	1997
939	30786	1965
940	30818	1932
941	30848	1899
942	30881	1866
943	30912	1833
944	30943	1800
945	30976	1768
946	31010	1735
947	31044	1702
948	31075	1670
949	31107	1637
950	31139	1604
951	31171	1571
952	31203	1538
953	31234	1506
954	31264	1473
955	31295	1440
956	31327	1407
957	31358	1374
958	31389	1341
959	31421	1309
960	31453	1276
961	31484	1243
962	31515	1210
963	31549	1178
964	31585	1145
965	31618	1112
966	31651	1080
967	31681	1047
968	31712	1014
969	31744	981
970	31775	949
971	31806	916
972	31839	883
973	31872	850
974	31902	818
975	31933	785
976	31963	752
977	31995	719
978	32029	687
979	32061	654
980	32098	621
981	32132	588
982	32163	556
983	32195	523
984	32224	490
985	32254	457
986	32285	425
987	32317	392
988	32352	359
989	32384	327
990	32416	294
991	32449	261
992	32480	228
993	32511	196
994	32542	163
995	32573	130
996	32605	98
997	32636	65
998	32669	32
999	32701	0
