iter	Logloss
0	0.6925467208
1	0.6920381545
2	0.6915223496
3	0.6909499041
4	0.6904318462
5	0.6899087257
6	0.6893122687
7	0.6887394977
8	0.6881865406
9	0.6876386033
10	0.6870960458
11	0.6865206363
12	0.6859957511
13	0.6855004369
14	0.6849155102
15	0.6844579478
16	0.6839603464
17	0.6834834498
18	0.6829615457
19	0.6824396673
20	0.6818984803
21	0.6813876525
22	0.6809049565
23	0.6803685324
24	0.6798442297
25	0.6792847108
26	0.6787354972
27	0.6782422903
28	0.6777706363
29	0.6772866554
30	0.6768090478
31	0.6763154982
32	0.6757972948
33	0.6752967208
34	0.6748276796
35	0.674332648
36	0.6737885657
37	0.6733209892
38	0.6727579924
39	0.6722079393
40	0.6716760639
41	0.6711908666
42	0.6707201206
43	0.6701578091
44	0.669700221
45	0.6691674376
46	0.6686381579
47	0.6681903098
48	0.6676720977
49	0.6671666752
50	0.6666715923
51	0.6661864463
52	0.6656943017
53	0.665189179
54	0.6647323705
55	0.6642557651
56	0.6638265145
57	0.6633643949
58	0.6628913788
59	0.6624609118
60	0.6619884354
61	0.6614605863
62	0.6609836469
63	0.6604708916
64	0.6600160276
65	0.6595335372
66	0.6590890813
67	0.6586247087
68	0.658155993
69	0.6577188956
70	0.6572684176
71	0.6568458916
72	0.6564098222
73	0.6559713456
74	0.6555410242
75	0.6551110369
76	0.6545995751
77	0.6541397598
78	0.6537066458
79	0.6532141841
80	0.6527311883
81	0.6522814128
82	0.6518247413
83	0.6513758224
84	0.6508568479
85	0.6504479167
86	0.6500133464
87	0.6495325863
88	0.6491079359
89	0.6486885365
90	0.6482843339
91	0.6478616708
92	0.647364609
93	0.64689179
94	0.6464715426
95	0.6460700812
96	0.6456162109
97	0.6451615097
98	0.6447520302
99	0.6442545487
100	0.6438645662
101	0.6433929979
102	0.6429838439
103	0.6425580112
104	0.6420984015
105	0.6416546909
106	0.6412410482
107	0.6408232936
108	0.6403488127
109	0.6399380739
110	0.6394535876
111	0.6390635708
112	0.6386598821
113	0.6382533837
114	0.6377786801
115	0.6373472536
116	0.636947831
117	0.6365145371
118	0.6360578056
119	0.6355694045
120	0.6351513929
121	0.6347094727
122	0.6343113521
123	0.6338907878
124	0.6334809142
125	0.633034548
126	0.6326358107
127	0.6322425901
128	0.6318290416
129	0.6314052563
130	0.6309404982
131	0.6305366211
132	0.6301380465
133	0.6297350089
134	0.6293054156
135	0.628934459
136	0.6285778594
137	0.6282324047
138	0.6277881116
139	0.6273937346
140	0.6270290056
141	0.6265757264
142	0.62614185
143	0.6257364652
144	0.6253386273
145	0.624938528
146	0.6245163017
147	0.6241321786
148	0.6237644685
149	0.6233876353
150	0.6230105966
151	0.6226298228
152	0.6222636633
153	0.6218595892
154	0.6214755345
155	0.6210675627
156	0.620650048
157	0.6202747995
158	0.619893332
159	0.6195133635
160	0.6190669631
161	0.6187040587
162	0.6183319627
163	0.6179301073
164	0.617561078
165	0.6171736482
166	0.6167881887
167	0.6164622653
168	0.6161128272
169	0.6157897221
170	0.6153751114
171	0.6149885725
172	0.6145928591
173	0.6142169511
174	0.6138760708
175	0.6134662915
176	0.613121899
177	0.6128032741
178	0.6124254129
179	0.6120274722
180	0.6116554019
181	0.6113217174
182	0.6109661715
183	0.6105923794
184	0.6102313596
185	0.6098361003
186	0.6094824561
187	0.6091291033
188	0.6087891225
189	0.6084340221
190	0.6080583539
191	0.6076411989
192	0.6073130911
193	0.6069260468
194	0.6065726083
195	0.6062220309
196	0.6058536099
197	0.6054956569
198	0.6051174959
199	0.6047323876
200	0.6043811763
201	0.6040056538
202	0.6036461075
203	0.6032651367
204	0.6028853139
205	0.6025734992
206	0.6022373818
207	0.6018894771
208	0.6014752775
209	0.6011301227
210	0.6007796352
211	0.6004037272
212	0.6000760991
213	0.5997759217
214	0.599423357
215	0.5991205498
216	0.5987302974
217	0.5983691021
218	0.5980663763
219	0.5977172595
220	0.5973288189
221	0.5970241999
222	0.5966870503
223	0.5963489498
224	0.5959656533
225	0.595662709
226	0.5953215332
227	0.5950100612
228	0.5946837137
229	0.5943681469
230	0.59400717
231	0.5936760425
232	0.5933081012
233	0.592934793
234	0.5925982345
235	0.5922779777
236	0.59195196
237	0.5916156713
238	0.591242483
239	0.5909348444
240	0.5905832734
241	0.5902719341
242	0.5899125291
243	0.5895826437
244	0.5892620229
245	0.5889318462
246	0.5886218219
247	0.5882688459
248	0.5879528466
249	0.5876484461
250	0.5873591266
251	0.587062757
252	0.5867071255
253	0.58639415
254	0.5861192948
255	0.5858067263
256	0.5854743524
257	0.5851163137
258	0.5848071375
259	0.5845072685
260	0.5842249477
261	0.583940404
262	0.5836301484
263	0.5833011582
264	0.5829685573
265	0.58269225
266	0.5823912161
267	0.5820775982
268	0.581744963
269	0.5814358724
270	0.581104852
271	0.5808192717
272	0.5805123612
273	0.5801953639
274	0.5799098307
275	0.5796119149
276	0.5793109838
277	0.5790077911
278	0.5787289054
279	0.5784493344
280	0.5781314976
281	0.5778002159
282	0.577532475
283	0.5772669014
284	0.5769612587
285	0.5766810367
286	0.5764051449
287	0.5760885802
288	0.5757743712
289	0.5754663429
290	0.5751925456
291	0.5749199262
292	0.5746142749
293	0.5743155325
294	0.5740295239
295	0.5737695227
296	0.5734403997
297	0.5731295487
298	0.5728129968
299	0.5725173426
300	0.5722035105
301	0.5718857379
302	0.5716100389
303	0.5713217816
304	0.5710345181
305	0.5707272307
306	0.5704163583
307	0.5701145791
308	0.5698204924
309	0.5695053754
310	0.5692495117
311	0.5689740183
312	0.5687026581
313	0.5684274174
314	0.5681515171
315	0.5678863461
316	0.5676043551
317	0.5673292686
318	0.567065314
319	0.5668081183
320	0.5665551886
321	0.5662660233
322	0.5659899217
323	0.5657344007
324	0.5654910182
325	0.5652177135
326	0.5649670153
327	0.5647280573
328	0.5644936224
329	0.564176715
330	0.5638850526
331	0.5636267218
332	0.5633871899
333	0.563140171
334	0.5628776813
335	0.5626258566
336	0.5623844615
337	0.5621082871
338	0.5617960355
339	0.5615283803
340	0.561248094
341	0.561010271
342	0.560749743
343	0.5604737699
344	0.5602181247
345	0.5599823405
346	0.5597137473
347	0.5594684759
348	0.5592083847
349	0.5589827688
350	0.558709387
351	0.558441826
352	0.5581837779
353	0.5579510691
354	0.5577191698
355	0.5574713584
356	0.5572301389
357	0.556946606
358	0.5566822745
359	0.5564415519
360	0.5561816192
361	0.5559271047
362	0.5557112887
363	0.5554589715
364	0.555199253
365	0.5549504266
366	0.5546940789
367	0.5544639186
368	0.5542258729
369	0.5539841908
370	0.5537080378
371	0.5534634474
372	0.5532274149
373	0.5529547869
374	0.5526910336
375	0.5524506322
376	0.5522237742
377	0.5519979227
378	0.5517273163
379	0.5514821649
380	0.5512528612
381	0.5510231719
382	0.5508119646
383	0.5505754694
384	0.5502988881
385	0.5500766901
386	0.5498203468
387	0.5496083042
388	0.5493674102
389	0.5491108998
390	0.5489128375
391	0.5486744192
392	0.5484175062
393	0.5481793063
394	0.5479671781
395	0.547753782
396	0.5475429645
397	0.5473253067
398	0.547057523
399	0.5468240688
400	0.5466093407
401	0.5463866374
402	0.5461496325
403	0.5459382196
404	0.5456832639
405	0.5454188939
406	0.5452165699
407	0.5449935667
408	0.5447914054
409	0.544573996
410	0.544382033
411	0.5441509988
412	0.5439251559
413	0.5436819747
414	0.543472305
415	0.5432627039
416	0.5430044459
417	0.54274525
418	0.5425198182
419	0.5422826463
420	0.5420368353
421	0.5418179011
422	0.541590302
423	0.5413933619
424	0.5411934707
425	0.5409758087
426	0.5407570886
427	0.5405128538
428	0.5403172715
429	0.540090362
430	0.5398537212
431	0.5396102274
432	0.5393652772
433	0.5391359606
434	0.5389286681
435	0.5387324604
436	0.5385007753
437	0.5382599541
438	0.5380585295
439	0.5378351922
440	0.5376171361
441	0.5373983219
442	0.537157899
443	0.536948255
444	0.5367659163
445	0.5365709635
446	0.5363388029
447	0.5361363889
448	0.5359244235
449	0.5357052152
450	0.5355054268
451	0.5352797081
452	0.5350658666
453	0.5348640779
454	0.5346482662
455	0.5344652292
